日本,Japan,JPN
アメリカ合衆国,United States,USA
インド,India,IND
中国,China,CHN
インドネシア,Indonesia,IDN
ブラジル,Brazil,BRA
パキスタン,Pakistan,PAK
バングラデシュ,Bangladesh,BGD
ナイジェリア,Nigeria,NGA
ロシア,Russian Federation,RUS
メキシコ,Mexico,MEX
フィリピン,Philippines,PHL
ベトナム,Viet Nam,VNM
エジプト,Egypt,EGY
エチオピア,Ethiopia,ETH
ドイツ,Germany,DEU
トルコ,Turkey,TUR
イラン,Iran,IRN
タイ,Thailand,THA
フランス,France,FRA
イギリス,United Kingdom,GBR
イタリア,Italy,ITA
南アフリカ,South Africa,ZAF
韓国,Korea,KOR
コロンビア,Colombia,COL
スペイン,Spain,ESP
アルゼンチン,Argentina,ARG
ケニア,Kenya,KEN
ポーランド,Poland,POL
カナダ,Canada,CAN
ペルー,Peru,PER
マレーシア,Malaysia,MYS
サウジアラビア,Saudi Arabia,SAU
北朝鮮,Korea(DPRK),PRK
ガーナ,Ghana,GHA
中華民国(台湾),Taiwan,TWN
オーストラリア,Australia,AUS
ルーマニア,Romania,ROU
カメルーン,Cameroon,CMR
オランダ,Netherlands,NLD
キューバ,Cuba,CUB
ポルトガル,Portugal,PRT
ニュージーランド,New Zealand,NZL